Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BetaFeatures.AutoSetupTermsAndConditions,,,"Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212","Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212",,"Bitte sieh dir die Nutzungsbedingungen unter folgendem Link an:

https://en.help.roblox.com/hc/de/articles/115004647846",,,"Harap baca Syarat dan Ketentuan di tautan di bawah ini:

https://en.help.roblox.com/hc/articles/20121392440212","Visualizza i Termini e condizioni al link qui sotto:

https://en.help.roblox.com/hc/articles/20121392440212","以下のリンクから規約と条件をごらんください。

https://en.help.roblox.com/hc/ja/articles/20121392440212","아래 링크에서 약관 및 조건을 확인하세요.

https://en.help.roblox.com/hc/articles/20121392440212","Wyświetl Warunki, korzystając z poniższego linku:

https://en.help.roblox.com/hc/articles/20121392440212","Por favor, veja os Termos e Condições no link abaixo:

https://en.help.roblox.com/hc/articles/20121392440212",,"โปรดดูข้อกำหนดและเงื่อนไขที่ลิงก์ด้านล่าง:

https://en.help.roblox.com/hc/articles/20121392440212","Lütfen aşağıdaki bağlantıdan Hüküm ve Koşulları görüntüle:

https://en.help.roblox.com/hc/articles/20121392440212","Vui lòng xem các Điều Khoản và Điều Kiện tại liên kết bên dưới:

https://en.help.roblox.com/hc/articles/20121392440212",,,"請從下列連結檢視條款與條件：

https://en.help.roblox.com/hc/articles/20121392440212"
Studio.BetaFeatures.NewFeaturesForChannelUserWarning1,,,"New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>","New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>",,"Neue Beta-Funktionen wurden oben automatisch aktiviert, da du in den Beta-Kanal eingeschrieben bist. Du musst Studio neu starten, damit diese aktiviert werden können. <a href=""%1"">Jetzt neu starten</a>",,,"Fitur beta baru telah otomatis diaktifkan di atas karena kamu terdaftar di Channel Beta. Studio harus dimulai ulang agar fitur tersebut bisa diaktifkan. <a href=""%1"">Mulai Ulang Sekarang</a>","Data la tua iscrizione al canale beta, le nuove funzionalità beta sono state abilitate automaticamente. Per attivarle devi riavviare Studio. <a href=""%1"">Riavvia ora</a>","ベータチャンネルに登録されているので、新しいベータ機能は以上のように自動有効化されています。アクティブ化するには、Studioの再起動が必要です。 <a href=""%1"">今すぐ再起動</a>","베타 채널에 등록되었기 때문에 위의 새로운 베타 기능이 자동으로 활성화되었습니다. 기능을 사용하려면 Studio를 다시 시작해야 합니다. <a href=""%1"">지금 다시 시작</a>","Nowe funkcje w wersji beta zostały automatycznie włączone powyżej w momencie dołączenia do kanału wersji beta. Musisz uruchomić Studio ponownie, aby funkcje te zostały aktywowane. <a href=""%1"">Uruchom ponownie teraz</a>","Novas funcionalidades beta foram habilitadas automaticamente acima quando você ingressou no canal beta. Você deve reiniciar o Studio para que elas sejam ativadas.<a href=""%1"">Reiniciar agora</a>",,"คุณสมบัติเบต้าใหม่ได้รับการเปิดใช้งานโดยอัตโนมัติเนื่องจากคุณได้เข้าร่วมในช่องเบต้าแล้ว คุณต้องรีสตาร์ท Studio เพื่อเปิดใช้งานคุณสมบัติดังกล่าว <a href=""%1"">รีสตาร์ททันที</a>","Beta kanalına katıldığın için yeni beta özellikler otomatik olarak etkinleştirildi. Özellikleri kullanabilmek için Studio'yu yeniden başlatman gerekiyor. <a href=""%1"">Hemen yeniden başlat</a>","Hệ thống đã tự động bật các tính năng beta mới ở trên khi bạn đăng ký Kênh Beta. Để kích hoạt, bạn phải khởi động lại Studio. <a href=""%1"">Khởi Động Lại Ngay</a>",,,"因為您已加入 Beta 測試頻道，新的 Beta 測試功能已自動為您啟用。若要使用這些功能，請重新啟動 Studio。<a href=""%1"">立即重新啟動</a>"
Studio.BetaFeatures.WhatsNewWindowTitle,,,New Updates Window,New Updates Window,,Fenster mit neuen Updates,,,Jendela Update Baru,Nuova finestra degli aggiornamenti,新規更新ウィンドウ,새로운 업데이트 창,Okno nowych aktualizacji,Janela de novas atualizações,,หน้าต่างการอัปเดตใหม่,Yeni güncellemeler penceresi,Cửa Sổ Cập Nhật Mới,,,近期更新視窗
Studio.BetaFeatures.StudioIncrementalAutocompleteDescription,,,Studio will perform incremental typechecks on cached scripts to speed up the responsiveness of autocomplete requests,Studio will perform incremental typechecks on cached scripts to speed up the responsiveness of autocomplete requests,,"Studio führt inkrementelle Typenüberprüfungen bei zwischengespeicherten Skripten durch, um die Reaktionsfähigkeit von Auto-Vervollständigungsanfragen zu beschleunigen",,,Studio akan menjalankan typecheck inkremental untuk skrip yang tersimpan di cache untuk mempercepat tingkat respons permintaan lengkapi otomatis,Studio eseguirà controlli incrementali della tipologia di script memorizzati nella cache per accelerare la reattività delle richieste di completamento automatico,,Studio에서 캐싱된 스크립트에 대해 증분식 유형 검사를 진행하여 자동 완성 요청에 대한 반응 속도를 올립니다.,"Aplikacja Studio przeprowadza przyrostowe sprawdzanie typów w skryptach w pamięci podręcznej, aby przyspieszyć reagowanie na żądania autouzupełniania",O Studio realizará verificações incrementais de checagem de tipos em scripts em cache para acelerar a capacidade de resposta de requisições de preenchimento automático,,Studio จะทำการตรวจสอบความถูกต้องแบบเพิ่มสูงขึ้นบนสคริปต์ที่แคชไว้เพื่อเพิ่มความเร็วในการตอบสนองของคำขอการเติมคำอัตโนมัติ,"Studio, önbelleğe alınmış betiklerde aşamalı yazım kontrolleri yapar ve otomatik tamamlama isteklerinin tepkiselliğini hızlandırır",Studio sẽ thực hiện kiểm tra đánh máy liên tục đối với các tập lệnh được lưu trong bộ nhớ đệm để gia tăng tốc độ hồi đáp của các yêu cầu tự động hoàn thành,,,Studio 將對快取指令碼執行增量類型檢查以加快自動完成請求的反應速度
Studio.BetaFeatures.ScriptEditorApiDescription,,,"Allow plugins to access the ScriptEditorService and ScriptDocument objects, permitting them to interact with an active editor.","Allow plugins to access the ScriptEditorService and ScriptDocument objects, permitting them to interact with an active editor.",,"Erlaube Plug-ins den Zugriff auf die Objekte ScriptEditorService und ScriptDocument, damit sie mit einem aktiven Editor interagieren können.",,,Membuka akses bagi plugin ke objek ScriptEditorService dan ScriptDocument sehingga plugin bisa berinteraksi dengan editor aktif.,"Consenti ai plugin di accedere agli oggetti ScriptEditorService e ScriptDocument, consentendo loro di interagire con un editor attivo.",ScriptEditorService と ScriptDocument オブジェクトへのプラグインのアクセスを許可し、アクティブな編集者と交流できるようにします。,"플러그인이 ScriptEditorService 및 ScriptDocument 개체에 액세스할 수 있도록 하여, 활성 편집기와 상호 작용할 수 있도록 허용합니다.","Zezwalaj dodatkom plug-in na dostęp do usługi ScriptEditorService oraz obiektów ScriptDocument, zezwalając im na interakcje z aktywnym edytorem.","Permitir que plugins acessem os objetos ScriptEditorService e ScriptDocument, permitindo que eles interajam com um editor ativo.",,อนุญาตปลั๊กอินให้เข้าถึง ScriptEditorService และวัตถุ ScriptDocument อนุญาตให้สิ่งเหล่านี้สามารถปฏิสัมพันธ์กับเครื่องมือแก้ไขที่เปิดใช้งานอยู่ได้,Eklentilerin ScriptEditorService ve ScriptDocument nesnelerine erişimine izin vererek etkin düzenleyicilerle etkileşime girebilmelerini sağla.,Cho phép plugin truy cập vào các đối tượng ScriptEditorService và ScriptDocument để tương tác với trình biên tập đang hoạt động.,,,允許外掛程式存取 ScriptEditorService 和 ScriptDocument 物件，進而允許它們與作用中的編輯器互動。
Studio.BetaFeatures.PreferredTextSizeSettingTitle,,,Preferred Text Size Setting,Preferred Text Size Setting,,Bevorzugte Textgrößeneinstellung,,,Pengaturan Ukuran Teks yang Disukai,Impostazione della dimensione del testo desiderata,優先テキストサイズ設定,선호 텍스트 크기 설정,Preferowane ustawienie wielkości tekstu,Configuração do tamanho do texto preferido,,การตั้งค่าขนาดข้อความที่ต้องการ,Tercih Edilen Metin Boyutu Ayarı,Cài Đặt Cỡ Chữ Ưu Tiên,,,偏好的文字大小設定
Studio.BetaFeatures.ScriptEditorHoverTitle,,,Luau-Powered Type Hover,Luau-Powered Type Hover,,Hover mit Luau-Typ-Unterstützung,,,Kursor Melayang Tipe yang Didukung Luau,Passaggio cursore basato su Luau,Luau 駆動型ホバー,Luau 기반 유형 가리키기,Najechanie na tekst obsługiwane przez Luau,Tipo de flutuação habilitada por Luau,,การวางเคอร์เซอร์อยู่เหนือประเภทด้วย Luau,Luau Tabanlı Tür Gezinmesi,Di Chuột Hiển Thị Loại Dựa Trên Mã Luau,,,Luau 支援的停放顯示類型
Studio.BetaFeatures.PreferredTextSizeSettingDescription,,,Enables a text size setting in the in-game menu and app-shell device preferences page that scales text according to a user's selection.,Enables a text size setting in the in-game menu and app-shell device preferences page that scales text according to a user's selection.,,"Ermöglicht eine Einstellung der Textgröße im Spielmenü und in den Geräteeinstellungen der App-Shell, die den Text entsprechend der Auswahl des Benutzers skaliert.",,,Mengaktifkan pengaturan ukuran teks di menu dalam game dan halaman preferensi perangkat app-shell yang mengubah ukuran teks sesuai keinginan pengguna.,"Abilita un'impostazione relativa alla dimensione del testo, nel menu di gioco e nella pagina delle preferenze semplici del dispositivo, che ridimensiona il testo in base alla selezione di un utente.",ゲーム内メニューとアプリシェルデバイスの基本設定ページでテキストのサイズをユーザーの選択に応じて拡大/縮小する設定を有効化。,사용자의 선택에 따라 텍스트 크기를 조정하는 앱 셸 기기 기본 설정 페이지와 게임 내 메뉴의 텍스트 크기 설정을 활성화합니다.,"Włącza ustawienie wielkości tekstu w menu w grze i na stronie preferencji powłoki aplikacji urządzenia, gdzie tekst jest skalowany zgodnie z wyborem użytkownika.",Habilita uma configuração de tamanho de texto no menu do jogo e página de preferências do dispositivo do aplicativo que dimensiona texto de acordo com a seleção do usuário.,,เปิดใช้งานการตั้งค่าขนาดข้อความในเมนูเกมและการตั้งค่าอุปกรณ์เชลล์แอปพลิเคชันที่ปรับขนาดข้อความตามการเลือกของผู้ใช้งาน,Oyun içi menüde ve uygulama kabuğundaki cihaz tercihleri sayfasında metni kullanıcının seçimine göre ölçeklendiren bir metin boyutu ayarı etkinleştirir.,Cho phép cài đặt cỡ chữ trong menu trong trò chơi và trang tùy chọn thiết bị của giao diện ứng dụng để thay đổi cỡ chữ theo lựa chọn của người dùng.,,,在遊戲內選單和應用程式殼層裝置偏好設定頁面中啟用文字大小設定，以根據使用者選擇的項目縮放文字。
Studio.BetaFeatures.StudioNotificationsDescription,,,Improves UI and expands functionality of Studio Notifications,Improves UI and expands functionality of Studio Notifications,,Verbessert die Benutzeroberfläche und erweitert die Funktionalität der Studio-Benachrichtigungen,,,Menyempurnakan UI dan memperbanyak fungsi Notifikasi Studio,Migliora l'interfaccia utente ed espande la funzionalità delle notifiche di Studio,ユーザーインターフェースの改善とStudio通知機能の拡張,Studio 알림 UI를 개선하고 기능을 확장합니다.,Usprawnienie interfejsu użytkownika i wzbogacenie funkcji powiadomień w Studio,Melhora a IU e expande a funcionalidade das notificações do Studio,,ปรับปรุง UI และขยายคุณสมบัติของการแจ้งเตือน Studio,Studio bildirimlerinin arayüzünü iyileştirir ve işlevselliğini artırır,Cải thiện UI và mở rộng chức năng của Thông Báo trong Studio,,,改善 Studio 通知的 UI 並擴展其功能性
Studio.BetaFeatures.FasterPlaySoloDescription,,,Streamlines Play Solo for faster loading performance.,Streamlines Play Solo for faster loading performance.,,Optimiert Einzelspiel für eine schnellere Ladeleistung.,,,Menyederhanakan Main Solo agar pemuatan berjalan lebih cepat.,Semplifica il gioco in solitaria per prestazioni di caricamento più rapide.,「一人でプレイ」を効率化して、読み込みパフォーマンスを高速化。,더 빠른 불러오기 성능을 위해 싱글 플레이를 간소화합니다.,"Usprawnia granie solo, skracając wczytywanie.",Agiliza jogar solo para um desempenho de carregamento mais rápido.,,ปรับปรุงการเล่นเดี่ยวเพื่อประสิทธิภาพการโหลดที่รวดเร็วขึ้น,Tek oyunculu modu yükleme hızı performansını artıracak şekilde düzenler.,Tối ưu hóa Chế Độ Chơi Đơn để tải nhanh hơn.,,,簡化單人遊玩以加快載入效能。
